"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2978","RT @AbrahamMateo: Gracias brother! Me encantó volver a verte y celebrar juntos! Nos vemos muy pronto en #Uruguay🇺🇾✌️ https://t.co/vKCOlnKzhN",FALSE,0,NA,2018-08-28 20:23:27,FALSE,NA,"1034536961497882625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nayla_Incardona",531,TRUE,FALSE,NA,NA
"2979","RT @IFEXALC: El gobierno uruguayo decreta censura previa en investigaciones cientificas; resultados no podran publicarse sin autorización o…",FALSE,0,NA,2018-08-28 20:22:31,FALSE,NA,"1034536728114147329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waltersena8",7,TRUE,FALSE,NA,NA
"2980","RT @ICD_Uruguay: #GobiernoAbierto ¿Cuánto avanzó #Uruguay en la apertura de su #gobierno? ¿Cuál es el grado de cumplimiento de los 40 #comp…",FALSE,0,NA,2018-08-28 20:22:22,FALSE,NA,"1034536688930967552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waltersena8",12,TRUE,FALSE,NA,NA
"2981","RT @IFEX: En Uruguay se cumplen 10 años de aprobada la ley de acceso a la información pública: es hora de hacer algunos cambios. https://t.…",FALSE,0,NA,2018-08-28 20:22:15,FALSE,NA,"1034536661785485312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waltersena8",5,TRUE,FALSE,NA,NA
"2982","RT @FabianBia: Piriápolis.
#Uruguay https://t.co/eg3nnkCCqM",FALSE,0,NA,2018-08-28 20:22:06,FALSE,NA,"1034536622115749889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GermanPerera97",105,TRUE,FALSE,NA,NA
"2983","Próximo lunes! Nos visita lautaroperezbatallaguitarra! #Concertista de #guitarra, nacido en #Uruguay y convertido e… https://t.co/TxkkoPYxpR",FALSE,0,NA,2018-08-28 20:21:01,TRUE,NA,"1034536351155269632",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","12_notas",0,FALSE,FALSE,NA,NA
"2984","Con ocasión de su visita a la @FAO, el expresidente de #Uruguay, José Mujica, opina sobre los grandes retos del sig… https://t.co/FzSWZTm2yH",FALSE,20,NA,2018-08-28 20:19:30,TRUE,NA,"1034535967556816896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FAOAmericas",21,FALSE,FALSE,NA,NA
"2985","RT @Ktror: No Digas Nada  #SoundCloud https://t.co/fFEBMWOZXf  🔊
#EDM #Electro #House #Moombahton #Morocco
#USA #Maharashtra #TamilNadu #El…",FALSE,0,NA,2018-08-28 20:17:41,FALSE,NA,"1034535513808691201",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","miamibassrecord",1,TRUE,FALSE,NA,NA
"2986","#eticaamatoriadeldeseolibertario #queenluddeditora #ludditassexxxuales 
nueva edicion revisada 
#QUEENLUDDEDITORA… https://t.co/4fzNOciNpF",FALSE,0,NA,2018-08-28 20:17:32,TRUE,NA,"1034535473543356417",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LeonorSilvestri",0,FALSE,FALSE,NA,NA
"2987","RT @MaurAntunez: Las declaraciones de Schoklender apuntan a que #LaRutaDelDineroK financiaba campañas en Latinoamérica, en #Uruguay también…",FALSE,0,NA,2018-08-28 20:17:00,FALSE,NA,"1034535338604199936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GPriguetti",75,TRUE,FALSE,NA,NA
